date,centre_id,centre_name,centre_type,district_id,medicine_id,medicine_name,medicine_category,current_stock,minimum_stock,maximum_stock,stock_to_min_ratio,days_since_last_restock,last_restock_quantity,dispensed_qty_today,dispensed_qty_7d_avg,dispensed_qty_14d_avg,dispensed_qty_30d_avg,dispensed_qty_7d_std,consumption_trend_7_30,day_of_week,month,is_weekend,is_monsoon,days_until_stockout
2025-09-02,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,66,126,810,0.524,17,450,26,22.71,23.21,23.33,3.86,0.973,1,9,0,1,41.0
2025-09-03,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,494,126,810,3.921,0,450,22,23.29,23.14,23.5,4.03,0.991,2,9,0,1,40.0
2025-09-04,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,476,126,810,3.778,1,450,18,23.86,22.93,23.41,3.39,1.019,3,9,0,1,39.0
2025-09-05,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,444,126,810,3.524,2,450,32,22.86,22.29,23.11,3.98,0.989,4,9,0,1,38.0
2025-09-06,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,421,126,810,3.341,3,450,23,24.57,22.5,23.58,5.0,1.042,5,9,1,1,37.0
2025-09-07,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,411,126,810,3.262,4,450,10,24.71,22.57,23.55,4.92,1.049,6,9,1,1,36.0
2025-09-08,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,387,126,810,3.071,5,450,24,23,22.36,22.9,7.46,1.004,0,9,0,1,35.0
2025-09-09,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,361,126,810,2.865,6,450,26,22.14,22.43,22.95,6.84,0.965,1,9,0,1,34.0
2025-09-10,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,329,126,810,2.611,7,450,32,22.14,22.71,23.09,6.84,0.959,2,9,0,1,33.0
2025-09-11,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,305,126,810,2.421,8,450,24,23.57,23.71,23.46,7.79,1.005,3,9,0,1,32.0
2025-09-12,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,285,126,810,2.262,9,450,20,24.43,23.64,23.48,7.39,1.04,4,9,0,1,31.0
2025-09-13,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,264,126,810,2.095,10,450,21,22.71,23.64,23.35,6.7,0.973,5,9,1,1,30.0
2025-09-14,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,248,126,810,1.968,11,450,16,22.43,23.57,23.26,6.73,0.964,6,9,1,1,29.0
2025-09-15,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,220,126,810,1.746,12,450,28,23.29,23.14,23,5.06,1.012,0,9,0,1,28.0
2025-09-16,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,194,126,810,1.54,13,450,26,23.86,23,23.17,5.37,1.03,1,9,0,1,27.0
2025-09-17,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,164,126,810,1.302,14,450,30,23.86,23,23.27,5.37,1.025,2,9,0,1,26.0
2025-09-18,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,132,126,810,1.048,15,450,32,23.57,23.57,23.43,4.89,1.006,3,9,0,1,25.0
2025-09-19,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,103,126,810,0.817,16,450,29,24.71,24.57,23.6,5.85,1.047,4,9,0,1,24.0
2025-09-20,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,71,126,810,0.563,17,450,32,26,24.36,23.73,5.63,1.096,5,9,1,1,23.0
2025-09-21,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,56,126,810,0.444,18,450,15,27.57,25,23.9,5.53,1.154,6,9,1,1,22.0
2025-09-22,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,28,126,810,0.222,19,450,28,27.43,25.36,23.43,5.88,1.17,0,9,0,1,21.0
2025-09-23,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,439,126,810,3.484,0,450,39,27.43,25.64,23.63,5.88,1.161,1,9,0,1,20.0
2025-09-24,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,413,126,810,3.278,1,450,26,29.29,26.57,24.5,7.25,1.195,2,9,0,1,19.0
2025-09-25,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,390,126,810,3.095,2,450,23,28.71,26.14,24.6,7.34,1.167,3,9,0,1,18.0
2025-09-26,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,368,126,810,2.921,3,450,22,27.43,26.07,24.63,7.46,1.113,4,9,0,1,17.0
2025-09-27,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,354,126,810,2.81,4,450,14,26.43,26.21,24.77,7.68,1.067,5,9,1,1,16.0
2025-09-28,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,342,126,810,2.714,5,450,12,23.86,25.71,24.4,8.47,0.978,6,9,1,1,15.0
2025-09-29,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,313,126,810,2.484,6,450,29,23.43,25.43,24.13,9.05,0.971,0,9,0,1,14.0
2025-09-30,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,288,126,810,2.286,7,450,25,23.57,25.5,24.37,9.14,0.967,1,9,0,1,13.0
2025-10-01,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,258,126,810,2.048,8,450,30,21.57,25.43,24.47,6.29,0.882,2,10,0,1,12.0
2025-10-02,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,237,126,810,1.881,9,450,21,22.14,25.43,24.47,6.91,0.905,3,10,0,1,11.0
2025-10-03,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,221,126,810,1.754,10,450,16,21.86,24.64,24.3,6.91,0.899,4,10,0,1,10.0
2025-10-04,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,202,126,810,1.603,11,450,19,21,23.71,24.1,7.26,0.871,5,10,1,1,9.0
2025-10-05,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,188,126,810,1.492,12,450,14,21.71,22.79,24.13,6.68,0.9,6,10,1,1,8.0
2025-10-06,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,156,126,810,1.238,13,450,32,22,22.71,23.53,6.22,0.935,0,10,0,1,7.0
2025-10-07,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,127,126,810,1.008,14,450,29,22.43,23,23.83,6.85,0.941,1,10,0,1,6.0
2025-10-08,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,103,126,810,0.817,15,450,24,23,22.29,24.47,7.26,0.94,2,10,0,1,5.0
2025-10-09,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,75,126,810,0.595,16,450,28,22.14,22.14,24.47,6.62,0.905,3,10,0,1,4.0
2025-10-10,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,45,126,810,0.357,17,450,30,23.14,22.5,24.53,6.94,0.943,4,10,0,1,3.0
2025-10-11,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,22,126,810,0.175,18,450,23,25.14,23.07,24.47,6.54,1.028,5,10,1,1,2.0
2025-10-12,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,9,126,810,0.071,19,450,13,25.71,23.71,24.43,6.07,1.052,6,10,1,1,1.0
2025-10-13,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,0,126,810,0.0,20,450,9,25.57,23.79,24.2,6.4,1.057,0,10,0,1,0.0
2025-10-14,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,0,126,810,0.0,21,450,0,22.29,22.36,23.8,8.2,0.936,1,10,0,1,0.0
2025-10-15,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,0,126,810,0.0,22,450,0,18.14,20.57,23.27,11.07,0.78,2,10,0,1,0.0
2025-10-16,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,0,126,810,0.0,23,450,0,14.71,18.43,22.33,12.57,0.659,3,10,0,1,0.0
2025-10-17,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,0,126,810,0.0,24,450,0,10.71,16.93,21.47,12.08,0.499,4,10,0,1,0.0
2025-10-18,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,0,126,810,0.0,25,450,0,6.43,15.79,20.47,9.03,0.314,5,10,1,1,0.0
2025-10-19,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,0,126,810,0.0,26,450,0,3.14,14.43,19.4,5.49,0.162,6,10,1,1,0.0
2025-10-20,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,0,126,810,0.0,27,450,0,1.29,13.43,18.43,3.4,0.07,0,10,0,1,0.0
2025-10-21,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,0,126,810,0.0,28,450,0,0,11.14,17.37,0.0,0.0,1,10,0,1,0.0
2025-10-22,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,0,126,810,0.0,29,450,0,0,9.07,16.87,0.0,0.0,2,10,0,1,0.0
2025-10-23,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,424,126,810,3.365,0,450,26,0,7.36,15.93,0.0,0.0,3,10,0,1,17.0
2025-10-24,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,407,126,810,3.23,1,450,17,3.71,7.21,15.5,9.83,0.24,4,10,0,1,16.0
2025-10-25,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,383,126,810,3.04,2,450,24,6.14,6.29,15.2,10.81,0.404,5,10,1,1,15.0
2025-10-26,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,369,126,810,2.929,3,450,14,9.57,6.36,15.23,12.25,0.628,6,10,1,1,14.0
2025-10-27,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,327,126,810,2.595,4,450,42,11.57,6.43,14.97,11.54,0.773,0,10,0,1,13.0
2025-10-28,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,299,126,810,2.373,5,450,28,17.57,8.79,15.9,14.94,1.105,1,10,0,1,12.0
2025-10-29,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,275,126,810,2.183,6,450,24,21.57,10.79,16.43,13.09,1.313,2,10,0,1,11.0
2025-10-30,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,247,126,810,1.96,7,450,28,25,12.5,16.27,9.0,1.537,3,10,0,1,10.0
2025-10-31,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,226,126,810,1.794,8,450,21,25.29,14.5,16.37,9.07,1.545,4,10,0,1,9.0
2025-11-01,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,189,126,810,1.5,9,450,37,25.86,16,16.07,8.57,1.609,5,11,1,1,8.0
2025-11-02,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,174,126,810,1.381,10,450,15,27.71,18.64,16.6,9.46,1.67,6,11,1,1,7.0
2025-11-03,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,144,126,810,1.143,11,450,30,27.86,19.71,16.57,9.23,1.682,0,11,0,1,6.0
2025-11-04,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,122,126,810,0.968,12,450,22,26.14,21.86,16.93,7.01,1.544,1,11,0,1,5.0
2025-11-05,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,98,126,810,0.778,13,450,24,25.29,23.43,17.2,7.11,1.47,2,11,0,1,4.0
2025-11-06,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,66,126,810,0.524,14,450,32,25.29,25.14,16.93,7.11,1.493,3,11,0,1,3.0
2025-11-07,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,37,126,810,0.294,15,450,29,25.86,25.57,17.03,7.52,1.518,4,11,0,1,2.0
2025-11-08,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,8,126,810,0.063,16,450,29,27,26.43,17.2,7.26,1.57,5,11,1,1,1.0
2025-11-09,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,0,126,810,0.0,17,450,8,25.86,26.79,17.23,5.93,1.5,6,11,1,1,0.0
2025-11-10,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,0,126,810,0.0,18,450,0,24.86,26.36,16.5,8.21,1.506,0,11,0,1,0.0
2025-11-11,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,427,126,810,3.389,0,450,23,20.57,23.36,15.73,12.03,1.307,1,11,0,1,18.0
2025-11-12,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,404,126,810,3.206,1,450,23,20.71,23,16.07,12.05,1.289,2,11,0,1,17.0
2025-11-13,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,377,126,810,2.992,2,450,27,20.57,22.93,16.53,12.01,1.244,3,11,0,1,16.0
2025-11-14,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,362,126,810,2.873,3,450,15,19.86,22.86,17.43,11.35,1.139,4,11,0,1,15.0
2025-11-15,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,341,126,810,2.706,4,450,21,17.86,22.43,17.93,10.68,0.996,5,11,1,1,14.0
2025-11-16,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,325,126,810,2.579,5,450,16,16.71,21.29,18.63,9.67,0.897,6,11,1,1,13.0
2025-11-17,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,286,126,810,2.27,6,450,39,17.86,21.36,19.17,8.91,0.932,0,11,0,1,12.0
2025-11-18,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,254,126,810,2.016,7,450,32,23.43,22,20.47,8.04,1.145,1,11,0,1,11.0
2025-11-19,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,231,126,810,1.833,8,450,23,24.71,22.71,21.53,8.65,1.148,2,11,0,1,10.0
2025-11-20,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,211,126,810,1.675,9,450,20,24.71,22.64,22.3,8.65,1.108,3,11,0,1,9.0
2025-11-21,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,188,126,810,1.492,10,450,23,23.71,21.79,22.97,8.75,1.033,4,11,0,1,8.0
2025-11-22,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,162,126,810,1.286,11,450,26,24.86,21.36,23.73,7.9,1.047,5,11,1,1,7.0
2025-11-23,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,141,126,810,1.119,12,450,21,25.57,21.14,23.73,7.72,1.077,6,11,1,1,6.0
2025-11-24,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,106,126,810,0.841,13,450,35,26.29,22.07,23.87,6.87,1.101,0,11,0,1,5.0
2025-11-25,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,68,126,810,0.54,14,450,38,25.71,24.57,24.23,5.71,1.061,1,11,0,1,4.0
2025-11-26,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,44,126,810,0.349,15,450,24,26.57,25.64,25.03,7.09,1.061,2,11,0,1,3.0
2025-11-27,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,29,126,810,0.23,16,450,15,26.71,25.71,24.43,7.02,1.093,3,11,0,1,2.0
2025-11-28,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,4,126,810,0.032,17,450,25,26,24.86,24,8.0,1.083,4,11,0,1,1.0
2025-11-29,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,0,126,810,0.0,18,450,4,26.29,25.57,24.03,7.91,1.094,5,11,1,1,0.0
2025-11-30,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,438,126,810,3.476,0,450,12,23.14,24.36,23.23,11.57,0.996,6,11,1,1,60.0
2025-12-01,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,413,126,810,3.278,1,450,25,21.86,24.07,22.93,12.32,0.953,0,12,0,0,60.0
2025-12-02,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,402,126,810,3.19,2,450,11,20.43,23.07,22.53,11.06,0.907,1,12,0,0,60.0
2025-12-03,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,382,126,810,3.032,3,450,20,16.57,21.57,22.4,8.26,0.74,2,12,0,0,60.0
2025-12-04,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,371,126,810,2.944,4,450,11,16,21.36,22.07,7.79,0.725,3,12,0,0,60.0
2025-12-05,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,355,126,810,2.817,5,450,16,15.43,20.71,21.7,8.02,0.711,4,12,0,0,60.0
2025-12-06,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,334,126,810,2.651,6,450,21,14.14,20.21,21.43,6.87,0.66,5,12,1,0,60.0
2025-12-07,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,323,126,810,2.563,7,450,11,16.57,19.86,21.07,5.56,0.787,6,12,1,0,60.0
2025-12-08,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,299,126,810,2.373,8,450,24,16.43,19.14,20.47,5.71,0.803,0,12,0,0,60.0
2025-12-09,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,280,126,810,2.222,9,450,19,16.29,18.36,20.3,5.47,0.802,1,12,0,0,60.0
2025-12-10,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,263,126,810,2.087,10,450,17,17.43,17,20.67,5.0,0.843,2,12,0,0,60.0
2025-12-11,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,247,126,810,1.96,11,450,16,17,16.5,21.23,4.86,0.801,3,12,0,0,60.0
2025-12-12,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,226,126,810,1.794,12,450,21,17.71,16.57,21,4.15,0.844,4,12,0,0,60.0
2025-12-13,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,210,126,810,1.667,13,450,16,18.43,16.29,20.93,4.24,0.88,5,12,1,0,60.0
2025-12-14,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,195,126,810,1.548,14,450,15,17.71,17.14,20.57,4.15,0.861,6,12,1,0,60.0
2025-12-15,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,170,126,810,1.349,15,450,25,18.29,17.36,20.57,3.25,0.889,0,12,0,0,60.0
2025-12-16,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,595,126,810,4.722,0,450,25,18.43,17.36,20.7,3.55,0.89,1,12,0,0,60.0
2025-12-17,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,570,126,810,4.524,1,450,25,19.29,18.36,21,4.35,0.918,2,12,0,0,60.0
2025-12-18,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,557,126,810,4.421,2,450,13,20.43,18.71,20.53,4.69,0.995,3,12,0,0,60.0
2025-12-19,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,538,126,810,4.27,3,450,19,20,18.86,19.9,5.26,1.005,4,12,0,0,60.0
2025-12-20,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,523,126,810,4.151,4,450,15,19.71,19.07,19.77,5.25,0.997,5,12,1,0,60.0
2025-12-21,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,512,126,810,4.063,5,450,11,19.57,18.64,19.6,5.38,0.999,6,12,1,0,60.0
2025-12-22,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,495,126,810,3.929,6,450,17,19,18.64,19.2,6.11,0.99,0,12,0,0,60.0
2025-12-23,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,472,126,810,3.746,7,450,23,17.86,18.14,18.9,5.52,0.945,1,12,0,0,60.0
2025-12-24,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,447,126,810,3.548,8,450,25,17.57,18.43,18.97,5.13,0.926,2,12,0,0,60.0
2025-12-25,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,425,126,810,3.373,9,450,22,17.57,19,18.63,5.13,0.943,3,12,0,0,60.0
2025-12-26,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,409,126,810,3.246,10,450,16,18.86,19.43,18.1,4.91,1.042,4,12,0,0,60.0
2025-12-27,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,389,126,810,3.087,11,450,20,18.43,19.07,17.83,5.03,1.033,5,12,1,0,60.0
2025-12-28,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,375,126,810,2.976,12,450,14,19.14,19.36,18,4.81,1.063,6,12,1,0,60.0
2025-12-29,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,354,126,810,2.81,13,450,21,19.57,19.29,17.63,4.04,1.11,0,12,0,0,60.0
2025-12-30,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,335,126,810,2.659,14,450,19,20.14,19,18.2,3.89,1.107,1,12,0,0,60.0
2025-12-31,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,313,126,810,2.484,15,450,22,19.57,18.57,18.43,3.69,1.062,2,12,0,0,60.0
2026-01-01,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,290,126,810,2.302,16,450,23,19.14,18.36,18.33,3.08,1.044,3,1,0,0,60.0
2026-01-02,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,270,126,810,2.143,17,450,20,19.29,19.07,18.73,3.25,1.029,4,1,0,0,60.0
2026-01-03,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,250,126,810,1.984,18,450,20,19.86,19.14,18.73,2.91,1.06,5,1,1,0,60.0
2026-01-04,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,238,126,810,1.889,19,450,12,19.86,19.5,19.03,2.91,1.043,6,1,1,0,60.0
2026-01-05,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,220,126,810,1.746,20,450,18,19.57,19.57,18.9,3.6,1.036,0,1,0,0,60.0
