date,ward_id,ward_name,centre_id,centre_name,centre_type,district_id,total_beds,current_occupied_beds,current_available_beds,current_occupancy_rate,occupied_lag_1d,occupied_lag_2d,occupied_lag_7d,occupied_lag_14d,occupied_7d_mean,occupied_14d_mean,occupied_7d_std,day_of_week,day_of_month,month,is_weekend,is_monsoon,target_occ_t1,target_rate_t1,target_occ_t2,target_rate_t2,target_occ_t3,target_rate_t3,target_occ_t4,target_rate_t4,target_occ_t5,target_rate_t5,target_occ_t6,target_rate_t6,target_occ_t7,target_rate_t7,target_occ_t8,target_rate_t8,target_occ_t9,target_rate_t9,target_occ_t10,target_rate_t10,target_occ_t11,target_rate_t11,target_occ_t12,target_rate_t12,target_occ_t13,target_rate_t13,target_occ_t14,target_rate_t14
2025-08-31,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,7,7,8,8,8,8.08,1.15,6,31,8,1,1,9,0.6,10,0.667,11,0.733,11,0.733,8,0.533,9,0.6,9,0.6,11,0.733,10,0.667,10,0.667,8,0.533,7,0.467,7,0.467,8,0.533
2025-09-01,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,8,7,9,9,8,8.07,1.15,0,1,9,0,1,10,0.667,11,0.733,11,0.733,8,0.533,9,0.6,9,0.6,11,0.733,10,0.667,10,0.667,8,0.533,7,0.467,7,0.467,8,0.533,7,0.467
2025-09-02,1,General,1,Coimbatore Central PHC,PHC,1,15,10,5,0.667,9,8,10,7,8,8.07,1.15,1,2,9,0,1,11,0.733,11,0.733,8,0.533,9,0.6,9,0.6,11,0.733,10,0.667,10,0.667,8,0.533,7,0.467,7,0.467,8,0.533,7,0.467,9,0.6
2025-09-03,1,General,1,Coimbatore Central PHC,PHC,1,15,11,4,0.733,10,9,7,8,8,8.29,1.15,2,3,9,0,1,11,0.733,8,0.533,9,0.6,9,0.6,11,0.733,10,0.667,10,0.667,8,0.533,7,0.467,7,0.467,8,0.533,7,0.467,9,0.6,7,0.467
2025-09-04,1,General,1,Coimbatore Central PHC,PHC,1,15,11,4,0.733,11,10,8,9,8.57,8.5,1.51,3,4,9,0,1,8,0.533,9,0.6,9,0.6,11,0.733,10,0.667,10,0.667,8,0.533,7,0.467,7,0.467,8,0.533,7,0.467,9,0.6,7,0.467,7,0.467
2025-09-05,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,11,11,7,8,9,8.64,1.73,4,5,9,0,1,9,0.6,9,0.6,11,0.733,10,0.667,10,0.667,8,0.533,7,0.467,7,0.467,8,0.533,7,0.467,9,0.6,7,0.467,7,0.467,10,0.667
2025-09-06,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,8,11,7,8,9.14,8.64,1.57,5,6,9,1,1,9,0.6,11,0.733,10,0.667,10,0.667,8,0.533,7,0.467,7,0.467,8,0.533,7,0.467,9,0.6,7,0.467,7,0.467,10,0.667,10,0.667
2025-09-07,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,9,8,8,8,9.43,8.71,1.27,6,7,9,1,1,11,0.733,10,0.667,10,0.667,8,0.533,7,0.467,7,0.467,8,0.533,7,0.467,9,0.6,7,0.467,7,0.467,10,0.667,10,0.667,8,0.533
2025-09-08,1,General,1,Coimbatore Central PHC,PHC,1,15,11,4,0.733,9,9,9,9,9.57,8.79,1.13,0,8,9,0,1,10,0.667,10,0.667,8,0.533,7,0.467,7,0.467,8,0.533,7,0.467,9,0.6,7,0.467,7,0.467,10,0.667,10,0.667,8,0.533,8,0.533
2025-09-09,1,General,1,Coimbatore Central PHC,PHC,1,15,10,5,0.667,11,9,10,10,9.86,8.93,1.21,1,9,9,0,1,10,0.667,8,0.533,7,0.467,7,0.467,8,0.533,7,0.467,9,0.6,7,0.467,7,0.467,10,0.667,10,0.667,8,0.533,8,0.533,8,0.533
2025-09-10,1,General,1,Coimbatore Central PHC,PHC,1,15,10,5,0.667,10,11,11,7,9.86,8.93,1.21,2,10,9,0,1,8,0.533,7,0.467,7,0.467,8,0.533,7,0.467,9,0.6,7,0.467,7,0.467,10,0.667,10,0.667,8,0.533,8,0.533,8,0.533,6,0.4
2025-09-11,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,10,10,11,8,9.71,9.14,1.11,3,11,9,0,1,7,0.467,7,0.467,8,0.533,7,0.467,9,0.6,7,0.467,7,0.467,10,0.667,10,0.667,8,0.533,8,0.533,8,0.533,6,0.4,7,0.467
2025-09-12,1,General,1,Coimbatore Central PHC,PHC,1,15,7,8,0.467,8,10,8,7,9.29,9.14,1.11,4,12,9,0,1,7,0.467,8,0.533,7,0.467,9,0.6,7,0.467,7,0.467,10,0.667,10,0.667,8,0.533,8,0.533,8,0.533,6,0.4,7,0.467,8,0.533
2025-09-13,1,General,1,Coimbatore Central PHC,PHC,1,15,7,8,0.467,7,8,9,7,9.14,9.14,1.35,5,13,9,1,1,8,0.533,7,0.467,9,0.6,7,0.467,7,0.467,10,0.667,10,0.667,8,0.533,8,0.533,8,0.533,6,0.4,7,0.467,8,0.533,8,0.533
2025-09-14,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,7,7,9,8,8.86,9.14,1.57,6,14,9,1,1,7,0.467,9,0.6,7,0.467,7,0.467,10,0.667,10,0.667,8,0.533,8,0.533,8,0.533,6,0.4,7,0.467,8,0.533,8,0.533,7,0.467
2025-09-15,1,General,1,Coimbatore Central PHC,PHC,1,15,7,8,0.467,8,7,11,9,8.71,9.14,1.6,0,15,9,0,1,9,0.6,7,0.467,7,0.467,10,0.667,10,0.667,8,0.533,8,0.533,8,0.533,6,0.4,7,0.467,8,0.533,8,0.533,7,0.467,6,0.4
2025-09-16,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,7,8,10,10,8.14,9,1.35,1,16,9,0,1,7,0.467,7,0.467,10,0.667,10,0.667,8,0.533,8,0.533,8,0.533,6,0.4,7,0.467,8,0.533,8,0.533,7,0.467,6,0.4,7,0.467
2025-09-17,1,General,1,Coimbatore Central PHC,PHC,1,15,7,8,0.467,9,7,10,11,8,8.93,1.15,2,17,9,0,1,7,0.467,10,0.667,10,0.667,8,0.533,8,0.533,8,0.533,6,0.4,7,0.467,8,0.533,8,0.533,7,0.467,6,0.4,7,0.467,9,0.6
2025-09-18,1,General,1,Coimbatore Central PHC,PHC,1,15,7,8,0.467,7,9,8,11,7.57,8.64,0.79,3,18,9,0,1,10,0.667,10,0.667,8,0.533,8,0.533,8,0.533,6,0.4,7,0.467,8,0.533,8,0.533,7,0.467,6,0.4,7,0.467,9,0.6,11,0.733
2025-09-19,1,General,1,Coimbatore Central PHC,PHC,1,15,10,5,0.667,7,7,7,8,7.43,8.36,0.79,4,19,9,0,1,10,0.667,8,0.533,8,0.533,8,0.533,6,0.4,7,0.467,8,0.533,8,0.533,7,0.467,6,0.4,7,0.467,9,0.6,11,0.733,10,0.667
2025-09-20,1,General,1,Coimbatore Central PHC,PHC,1,15,10,5,0.667,10,7,7,9,7.86,8.5,1.21,5,20,9,1,1,8,0.533,8,0.533,8,0.533,6,0.4,7,0.467,8,0.533,8,0.533,7,0.467,6,0.4,7,0.467,9,0.6,11,0.733,10,0.667,9,0.6
2025-09-21,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,10,10,8,9,8.29,8.57,1.38,6,21,9,1,1,8,0.533,8,0.533,6,0.4,7,0.467,8,0.533,8,0.533,7,0.467,6,0.4,7,0.467,9,0.6,11,0.733,10,0.667,9,0.6,8,0.533
2025-09-22,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,8,10,7,11,8.29,8.5,1.38,0,22,9,0,1,8,0.533,6,0.4,7,0.467,8,0.533,8,0.533,7,0.467,6,0.4,7,0.467,9,0.6,11,0.733,10,0.667,9,0.6,8,0.533,9,0.6
2025-09-23,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,8,8,9,10,8.43,8.29,1.27,1,23,9,0,1,6,0.4,7,0.467,8,0.533,8,0.533,7,0.467,6,0.4,7,0.467,9,0.6,11,0.733,10,0.667,9,0.6,8,0.533,9,0.6,10,0.667
2025-09-24,1,General,1,Coimbatore Central PHC,PHC,1,15,6,9,0.4,8,8,7,10,8.29,8.14,1.25,2,24,9,0,1,7,0.467,8,0.533,8,0.533,7,0.467,6,0.4,7,0.467,9,0.6,11,0.733,10,0.667,9,0.6,8,0.533,9,0.6,10,0.667,10,0.667
2025-09-25,1,General,1,Coimbatore Central PHC,PHC,1,15,7,8,0.467,6,8,7,8,8.14,7.86,1.46,3,25,9,0,1,8,0.533,8,0.533,7,0.467,6,0.4,7,0.467,9,0.6,11,0.733,10,0.667,9,0.6,8,0.533,9,0.6,10,0.667,10,0.667,9,0.6
2025-09-26,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,7,6,10,7,8.14,7.79,1.46,4,26,9,0,1,8,0.533,7,0.467,6,0.4,7,0.467,9,0.6,11,0.733,10,0.667,9,0.6,8,0.533,9,0.6,10,0.667,10,0.667,9,0.6,8,0.533
2025-09-27,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,8,7,10,7,7.86,7.86,1.21,5,27,9,1,1,7,0.467,6,0.4,7,0.467,9,0.6,11,0.733,10,0.667,9,0.6,8,0.533,9,0.6,10,0.667,10,0.667,9,0.6,8,0.533,10,0.667
2025-09-28,1,General,1,Coimbatore Central PHC,PHC,1,15,7,8,0.467,8,8,8,8,7.57,7.93,0.79,6,28,9,1,1,6,0.4,7,0.467,9,0.6,11,0.733,10,0.667,9,0.6,8,0.533,9,0.6,10,0.667,10,0.667,9,0.6,8,0.533,10,0.667,9,0.6
2025-09-29,1,General,1,Coimbatore Central PHC,PHC,1,15,6,9,0.4,7,8,8,7,7.43,7.86,0.79,0,29,9,0,1,7,0.467,9,0.6,11,0.733,10,0.667,9,0.6,8,0.533,9,0.6,10,0.667,10,0.667,9,0.6,8,0.533,10,0.667,9,0.6,10,0.667
2025-09-30,1,General,1,Coimbatore Central PHC,PHC,1,15,7,8,0.467,6,7,8,9,7.14,7.79,0.9,1,30,9,0,1,9,0.6,11,0.733,10,0.667,9,0.6,8,0.533,9,0.6,10,0.667,10,0.667,9,0.6,8,0.533,10,0.667,9,0.6,10,0.667,9,0.6
2025-10-01,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,7,6,6,7,7,7.64,0.82,2,1,10,0,1,11,0.733,10,0.667,9,0.6,8,0.533,9,0.6,10,0.667,10,0.667,9,0.6,8,0.533,10,0.667,9,0.6,10,0.667,9,0.6,9,0.6
2025-10-02,1,General,1,Coimbatore Central PHC,PHC,1,15,11,4,0.733,9,7,7,7,7.43,7.79,0.98,3,2,10,0,1,10,0.667,9,0.6,8,0.533,9,0.6,10,0.667,10,0.667,9,0.6,8,0.533,10,0.667,9,0.6,10,0.667,9,0.6,9,0.6,10,0.667
2025-10-03,1,General,1,Coimbatore Central PHC,PHC,1,15,10,5,0.667,11,9,8,10,8,8.07,1.63,4,3,10,0,1,9,0.6,8,0.533,9,0.6,10,0.667,10,0.667,9,0.6,8,0.533,10,0.667,9,0.6,10,0.667,9,0.6,9,0.6,10,0.667,10,0.667
2025-10-04,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,10,11,8,10,8.29,8.07,1.8,5,4,10,1,1,8,0.533,9,0.6,10,0.667,10,0.667,9,0.6,8,0.533,10,0.667,9,0.6,10,0.667,9,0.6,9,0.6,10,0.667,10,0.667,10,0.667
2025-10-05,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,9,10,7,8,8.43,8,1.81,6,5,10,1,1,9,0.6,10,0.667,10,0.667,9,0.6,8,0.533,10,0.667,9,0.6,10,0.667,9,0.6,9,0.6,10,0.667,10,0.667,10,0.667,8,0.533
2025-10-06,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,8,9,6,8,8.57,8,1.72,0,6,10,0,1,10,0.667,10,0.667,9,0.6,8,0.533,10,0.667,9,0.6,10,0.667,9,0.6,9,0.6,10,0.667,10,0.667,10,0.667,8,0.533,9,0.6
2025-10-07,1,General,1,Coimbatore Central PHC,PHC,1,15,10,5,0.667,9,8,7,8,9,8.07,1.29,1,7,10,0,1,10,0.667,9,0.6,8,0.533,10,0.667,9,0.6,10,0.667,9,0.6,9,0.6,10,0.667,10,0.667,10,0.667,8,0.533,9,0.6,8,0.533
2025-10-08,1,General,1,Coimbatore Central PHC,PHC,1,15,10,5,0.667,10,9,9,6,9.43,8.21,0.98,2,8,10,0,1,9,0.6,8,0.533,10,0.667,9,0.6,10,0.667,9,0.6,9,0.6,10,0.667,10,0.667,10,0.667,8,0.533,9,0.6,8,0.533,8,0.533
2025-10-09,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,10,10,11,7,9.57,8.5,0.98,3,9,10,0,1,8,0.533,10,0.667,9,0.6,10,0.667,9,0.6,9,0.6,10,0.667,10,0.667,10,0.667,8,0.533,9,0.6,8,0.533,8,0.533,9,0.6
2025-10-10,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,9,10,10,8,9.29,8.64,0.76,4,10,10,0,1,10,0.667,9,0.6,10,0.667,9,0.6,9,0.6,10,0.667,10,0.667,10,0.667,8,0.533,9,0.6,8,0.533,8,0.533,9,0.6,10,0.667
2025-10-11,1,General,1,Coimbatore Central PHC,PHC,1,15,10,5,0.667,8,9,9,8,9,8.64,0.82,5,11,10,1,1,9,0.6,10,0.667,9,0.6,9,0.6,10,0.667,10,0.667,10,0.667,8,0.533,9,0.6,8,0.533,8,0.533,9,0.6,10,0.667,9,0.6
2025-10-12,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,10,8,8,7,9.14,8.79,0.9,6,12,10,1,1,10,0.667,9,0.6,9,0.6,10,0.667,10,0.667,10,0.667,8,0.533,9,0.6,8,0.533,8,0.533,9,0.6,10,0.667,9,0.6,8,0.533
2025-10-13,1,General,1,Coimbatore Central PHC,PHC,1,15,10,5,0.667,9,10,9,6,9.29,8.93,0.76,0,13,10,0,1,9,0.6,9,0.6,10,0.667,10,0.667,10,0.667,8,0.533,9,0.6,8,0.533,8,0.533,9,0.6,10,0.667,9,0.6,8,0.533,6,0.4
2025-10-14,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,10,9,10,7,9.43,9.21,0.79,1,14,10,0,1,9,0.6,10,0.667,10,0.667,10,0.667,8,0.533,9,0.6,8,0.533,8,0.533,9,0.6,10,0.667,9,0.6,8,0.533,6,0.4,7,0.467
2025-10-15,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,9,10,10,9,9.29,9.36,0.76,2,15,10,0,1,10,0.667,10,0.667,10,0.667,8,0.533,9,0.6,8,0.533,8,0.533,9,0.6,10,0.667,9,0.6,8,0.533,6,0.4,7,0.467,7,0.467
2025-10-16,1,General,1,Coimbatore Central PHC,PHC,1,15,10,5,0.667,9,9,9,11,9.14,9.36,0.69,3,16,10,0,1,10,0.667,10,0.667,8,0.533,9,0.6,8,0.533,8,0.533,9,0.6,10,0.667,9,0.6,8,0.533,6,0.4,7,0.467,7,0.467,6,0.4
2025-10-17,1,General,1,Coimbatore Central PHC,PHC,1,15,10,5,0.667,10,9,8,10,9.29,9.29,0.76,4,17,10,0,1,10,0.667,8,0.533,9,0.6,8,0.533,8,0.533,9,0.6,10,0.667,9,0.6,8,0.533,6,0.4,7,0.467,7,0.467,6,0.4,7,0.467
2025-10-18,1,General,1,Coimbatore Central PHC,PHC,1,15,10,5,0.667,10,10,10,9,9.57,9.29,0.53,5,18,10,1,1,8,0.533,9,0.6,8,0.533,8,0.533,9,0.6,10,0.667,9,0.6,8,0.533,6,0.4,7,0.467,7,0.467,6,0.4,7,0.467,5,0.333
2025-10-19,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,10,10,9,8,9.57,9.36,0.53,6,19,10,1,1,9,0.6,8,0.533,8,0.533,9,0.6,10,0.667,9,0.6,8,0.533,6,0.4,7,0.467,7,0.467,6,0.4,7,0.467,5,0.333,6,0.4
2025-10-20,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,8,10,10,9,9.43,9.36,0.79,0,20,10,0,1,8,0.533,8,0.533,9,0.6,10,0.667,9,0.6,8,0.533,6,0.4,7,0.467,7,0.467,6,0.4,7,0.467,5,0.333,6,0.4,8,0.533
2025-10-21,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,9,8,9,10,9.29,9.36,0.76,1,21,10,0,1,8,0.533,9,0.6,10,0.667,9,0.6,8,0.533,6,0.4,7,0.467,7,0.467,6,0.4,7,0.467,5,0.333,6,0.4,8,0.533,9,0.6
2025-10-22,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,8,9,9,10,9.14,9.21,0.9,2,22,10,0,1,9,0.6,10,0.667,9,0.6,8,0.533,6,0.4,7,0.467,7,0.467,6,0.4,7,0.467,5,0.333,6,0.4,8,0.533,9,0.6,8,0.533
2025-10-23,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,8,8,10,9,9,9.07,1.0,3,23,10,0,1,10,0.667,9,0.6,8,0.533,6,0.4,7,0.467,7,0.467,6,0.4,7,0.467,5,0.333,6,0.4,8,0.533,9,0.6,8,0.533,9,0.6
2025-10-24,1,General,1,Coimbatore Central PHC,PHC,1,15,10,5,0.667,9,8,10,8,8.86,9.07,0.9,4,24,10,0,1,9,0.6,8,0.533,6,0.4,7,0.467,7,0.467,6,0.4,7,0.467,5,0.333,6,0.4,8,0.533,9,0.6,8,0.533,9,0.6,8,0.533
2025-10-25,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,10,9,10,10,8.86,9.21,0.9,5,25,10,1,1,8,0.533,6,0.4,7,0.467,7,0.467,6,0.4,7,0.467,5,0.333,6,0.4,8,0.533,9,0.6,8,0.533,9,0.6,8,0.533,6,0.4
2025-10-26,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,9,10,8,9,8.71,9.14,0.76,6,26,10,1,1,6,0.4,7,0.467,7,0.467,6,0.4,7,0.467,5,0.333,6,0.4,8,0.533,9,0.6,8,0.533,9,0.6,8,0.533,6,0.4,6,0.4
2025-10-27,1,General,1,Coimbatore Central PHC,PHC,1,15,6,9,0.4,8,9,9,10,8.71,9.07,0.76,0,27,10,0,1,7,0.467,7,0.467,6,0.4,7,0.467,5,0.333,6,0.4,8,0.533,9,0.6,8,0.533,9,0.6,8,0.533,6,0.4,6,0.4,6,0.4
2025-10-28,1,General,1,Coimbatore Central PHC,PHC,1,15,7,8,0.467,6,8,8,9,8.29,8.79,1.25,1,28,10,0,1,7,0.467,6,0.4,7,0.467,5,0.333,6,0.4,8,0.533,9,0.6,8,0.533,9,0.6,8,0.533,6,0.4,6,0.4,6,0.4,9,0.6
2025-10-29,1,General,1,Coimbatore Central PHC,PHC,1,15,7,8,0.467,7,6,8,9,8.14,8.64,1.35,2,29,10,0,1,6,0.4,7,0.467,5,0.333,6,0.4,8,0.533,9,0.6,8,0.533,9,0.6,8,0.533,6,0.4,6,0.4,6,0.4,9,0.6,8,0.533
2025-10-30,1,General,1,Coimbatore Central PHC,PHC,1,15,6,9,0.4,7,7,9,10,8,8.5,1.41,3,30,10,0,1,7,0.467,5,0.333,6,0.4,8,0.533,9,0.6,8,0.533,9,0.6,8,0.533,6,0.4,6,0.4,6,0.4,9,0.6,8,0.533,7,0.467
2025-10-31,1,General,1,Coimbatore Central PHC,PHC,1,15,7,8,0.467,6,7,10,10,7.57,8.21,1.51,4,31,10,0,1,5,0.333,6,0.4,8,0.533,9,0.6,8,0.533,9,0.6,8,0.533,6,0.4,6,0.4,6,0.4,9,0.6,8,0.533,7,0.467,9,0.6
2025-11-01,1,General,1,Coimbatore Central PHC,PHC,1,15,5,10,0.333,7,6,9,10,7.14,8,1.07,5,1,11,1,1,6,0.4,8,0.533,9,0.6,8,0.533,9,0.6,8,0.533,6,0.4,6,0.4,6,0.4,9,0.6,8,0.533,7,0.467,9,0.6,10,0.667
2025-11-02,1,General,1,Coimbatore Central PHC,PHC,1,15,6,9,0.4,5,7,8,8,6.57,7.64,0.98,6,2,11,1,1,8,0.533,9,0.6,8,0.533,9,0.6,8,0.533,6,0.4,6,0.4,6,0.4,9,0.6,8,0.533,7,0.467,9,0.6,10,0.667,11,0.733
2025-11-03,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,6,5,6,9,6.29,7.5,0.76,0,3,11,0,1,9,0.6,8,0.533,9,0.6,8,0.533,6,0.4,6,0.4,6,0.4,9,0.6,8,0.533,7,0.467,9,0.6,10,0.667,11,0.733,12,0.8
2025-11-04,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,8,6,7,8,6.57,7.43,0.98,1,4,11,0,1,8,0.533,9,0.6,8,0.533,6,0.4,6,0.4,6,0.4,9,0.6,8,0.533,7,0.467,9,0.6,10,0.667,11,0.733,12,0.8,12,0.8
2025-11-05,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,9,8,7,8,6.86,7.5,1.35,2,5,11,0,1,9,0.6,8,0.533,6,0.4,6,0.4,6,0.4,9,0.6,8,0.533,7,0.467,9,0.6,10,0.667,11,0.733,12,0.8,12,0.8,11,0.733
2025-11-06,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,8,9,6,9,7,7.5,1.41,3,6,11,0,1,8,0.533,6,0.4,6,0.4,6,0.4,9,0.6,8,0.533,7,0.467,9,0.6,10,0.667,11,0.733,12,0.8,12,0.8,11,0.733,9,0.6
2025-11-07,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,9,8,7,10,7.43,7.5,1.51,4,7,11,0,1,6,0.4,6,0.4,6,0.4,9,0.6,8,0.533,7,0.467,9,0.6,10,0.667,11,0.733,12,0.8,12,0.8,11,0.733,9,0.6,8,0.533
2025-11-08,1,General,1,Coimbatore Central PHC,PHC,1,15,6,9,0.4,8,9,5,9,7.57,7.36,1.51,5,8,11,1,1,6,0.4,6,0.4,9,0.6,8,0.533,7,0.467,9,0.6,10,0.667,11,0.733,12,0.8,12,0.8,11,0.733,9,0.6,8,0.533,9,0.6
2025-11-09,1,General,1,Coimbatore Central PHC,PHC,1,15,6,9,0.4,6,8,6,8,7.71,7.14,1.25,6,9,11,1,1,6,0.4,9,0.6,8,0.533,7,0.467,9,0.6,10,0.667,11,0.733,12,0.8,12,0.8,11,0.733,9,0.6,8,0.533,9,0.6,8,0.533
2025-11-10,1,General,1,Coimbatore Central PHC,PHC,1,15,6,9,0.4,6,6,8,6,7.71,7,1.25,0,10,11,0,1,9,0.6,8,0.533,7,0.467,9,0.6,10,0.667,11,0.733,12,0.8,12,0.8,11,0.733,9,0.6,8,0.533,9,0.6,8,0.533,10,0.667
